session_start,session_end,duration_sec,username,domain,client_ip,workstation,session_id,evidence_basis,logon_id,admin_priv_4672,auth_event_time_1149,auth_client_ip_1149,auth_client_name_1149,disconnect_count,reconnect_count,lsm_events,auth_events_count
2025-12-02T06:10:53.780542,2025-12-02T06:41:02.701029,1808,pcj,,163.152.125.134,,5e84ff282908,RCM1149(Fallback: Security4624Type10 not found),,False,2025-12-02T06:10:53.780542,163.152.125.134,,0,0,[],2
2025-12-02T09:44:54.344587,2025-12-02T10:14:54.344587,1800,UNKNOWN,,163.152.10.117,,09fab8dd2808,RCM1149(Fallback: Security4624Type10 not found),,False,2025-12-02T09:44:54.344587,163.152.10.117,,0,0,[],1
2025-12-02T16:44:51.083334,2025-12-02T17:14:51.083334,1800,UNKNOWN,,163.152.10.117,,2943561ef22d,RCM1149(Fallback: Security4624Type10 not found),,False,2025-12-02T16:44:51.083334,163.152.10.117,,0,0,[],1
2025-12-03T00:38:38.022482,2025-12-03T01:08:38.022482,1800,pcj,,163.152.71.74,,836b3af2b194,RCM1149(Fallback: Security4624Type10 not found),,False,2025-12-03T00:38:38.022482,163.152.71.74,,0,0,[],1
2025-12-03T03:57:01.056261,2025-12-03T04:28:22.594374,1881,pcj,,163.152.125.134,,5fb86c04978c,RCM1149(Fallback: Security4624Type10 not found),,False,2025-12-03T03:57:01.056261,163.152.125.134,,0,0,[],2
2025-12-03T05:59:36.525293,2025-12-03T06:29:36.525293,1800,pcj,,163.152.125.134,,0348fcc74135,RCM1149(Fallback: Security4624Type10 not found),,False,2025-12-03T05:59:36.525293,163.152.125.134,,0,0,[],1
2025-12-03T07:34:35.587875,2025-12-03T08:04:35.587875,1800,pcj,,163.152.125.134,,a2fd84cec7ef,RCM1149(Fallback: Security4624Type10 not found),,False,2025-12-03T07:34:35.587875,163.152.125.134,,0,0,[],1
2025-12-03T14:35:30.602472,2025-12-03T15:05:30.602472,1800,UNKNOWN,,163.152.10.117,,e9fc9f45c740,RCM1149(Fallback: Security4624Type10 not found),,False,2025-12-03T14:35:30.602472,163.152.10.117,,0,0,[],1
2025-12-04T18:47:48.068659,2025-12-04T19:17:48.068659,1800,UNKNOWN,,163.152.10.117,,4ca75059fe1c,RCM1149(Fallback: Security4624Type10 not found),,False,2025-12-04T18:47:48.068659,163.152.10.117,,0,0,[],1
2025-12-05T04:02:10.297632,2025-12-05T04:32:10.297632,1800,UNKNOWN,,163.152.10.117,,42b899dc11be,RCM1149(Fallback: Security4624Type10 not found),,False,2025-12-05T04:02:10.297632,163.152.10.117,,0,0,[],1
2025-12-06T14:28:44.184557,2025-12-06T14:58:44.184557,1800,UNKNOWN,,163.152.10.117,,667ec52fc2d9,RCM1149(Fallback: Security4624Type10 not found),,False,2025-12-06T14:28:44.184557,163.152.10.117,,0,0,[],1
2025-12-07T06:22:59.260815,2025-12-07T06:52:59.260815,1800,UNKNOWN,,163.152.10.117,,473dcc5c36ee,RCM1149(Fallback: Security4624Type10 not found),,False,2025-12-07T06:22:59.260815,163.152.10.117,,0,0,[],1
2025-12-08T03:51:32.189943,2025-12-08T04:21:32.189943,1800,pcj,,163.152.125.134,,3f507fa08dab,RCM1149(Fallback: Security4624Type10 not found),,False,2025-12-08T03:51:32.189943,163.152.125.134,,0,0,[],1
2025-12-09T18:20:10.263260,2025-12-09T18:50:10.263260,1800,UNKNOWN,,163.152.10.117,,727c68b71166,RCM1149(Fallback: Security4624Type10 not found),,False,2025-12-09T18:20:10.263260,163.152.10.117,,0,0,[],1
2025-12-10T11:14:42.933931,2025-12-10T11:44:42.933931,1800,pcj,,163.152.125.134,,badd8c82627c,RCM1149(Fallback: Security4624Type10 not found),,False,2025-12-10T11:14:42.933931,163.152.125.134,,0,0,[],1
2025-12-11T09:52:44.204695,2025-12-11T10:22:44.204695,1800,UNKNOWN,,163.152.10.117,,b0dac9ad01ac,RCM1149(Fallback: Security4624Type10 not found),,False,2025-12-11T09:52:44.204695,163.152.10.117,,0,0,[],1
2025-12-11T10:59:22.809139,2025-12-11T11:29:22.809139,1800,UNKNOWN,,163.152.10.117,,6ab6bf586920,RCM1149(Fallback: Security4624Type10 not found),,False,2025-12-11T10:59:22.809139,163.152.10.117,,0,0,[],1
2025-12-12T03:16:35.813189,2025-12-12T03:46:35.813189,1800,pcj,,163.152.125.134,,a570f01c98e8,RCM1149(Fallback: Security4624Type10 not found),,False,2025-12-12T03:16:35.813189,163.152.125.134,,0,0,[],1
2025-12-16T11:12:40.370831,2025-12-16T12:01:55.458042,2955,pcj,,163.152.125.134,,32fde23dce95,RCM1149(Fallback: Security4624Type10 not found),,False,2025-12-16T11:12:40.370831,163.152.125.134,,0,0,[],2
2025-12-16T15:21:29.743280,2025-12-16T15:51:29.743280,1800,UNKNOWN,,163.152.10.117,,b2e70547db62,RCM1149(Fallback: Security4624Type10 not found),,False,2025-12-16T15:21:29.743280,163.152.10.117,,0,0,[],1
2025-12-17T05:30:39.972345,2025-12-17T06:00:39.972345,1800,pcj,,163.152.125.134,,6a85b7a94434,RCM1149(Fallback: Security4624Type10 not found),,False,2025-12-17T05:30:39.972345,163.152.125.134,,0,0,[],1
2025-12-17T13:39:16.355562,2025-12-17T14:09:16.355562,1800,UNKNOWN,,163.152.10.117,,e98c2a96570f,RCM1149(Fallback: Security4624Type10 not found),,False,2025-12-17T13:39:16.355562,163.152.10.117,,0,0,[],1
2025-12-18T00:53:49.518837,2025-12-18T01:23:49.518837,1800,pcj,,163.152.125.134,,d0d48532c89c,RCM1149(Fallback: Security4624Type10 not found),,False,2025-12-18T00:53:49.518837,163.152.125.134,,0,0,[],1
2025-12-19T00:34:33.719290,2025-12-19T01:04:33.719290,1800,UNKNOWN,,163.152.10.117,,e728760057a5,RCM1149(Fallback: Security4624Type10 not found),,False,2025-12-19T00:34:33.719290,163.152.10.117,,0,0,[],1
2025-12-22T12:22:33.332491,2025-12-22T12:52:33.332491,1800,UNKNOWN,,163.152.10.117,,219272765923,RCM1149(Fallback: Security4624Type10 not found),,False,2025-12-22T12:22:33.332491,163.152.10.117,,0,0,[],1
2025-12-23T03:02:32.769756,2025-12-23T03:32:32.769756,1800,UNKNOWN,,163.152.10.117,,f45fea684b95,RCM1149(Fallback: Security4624Type10 not found),,False,2025-12-23T03:02:32.769756,163.152.10.117,,0,0,[],1
2025-12-23T08:35:42.538782,2025-12-23T09:05:42.538782,1800,pcj,,163.152.125.134,,19b61f643f87,RCM1149(Fallback: Security4624Type10 not found),,False,2025-12-23T08:35:42.538782,163.152.125.134,,0,0,[],1
2025-12-24T04:07:42.097574,2025-12-24T04:37:42.097574,1800,UNKNOWN,,163.152.10.117,,e631a04933ee,RCM1149(Fallback: Security4624Type10 not found),,False,2025-12-24T04:07:42.097574,163.152.10.117,,0,0,[],1
2025-12-24T06:28:07.510468,2025-12-24T06:58:07.510468,1800,UNKNOWN,,163.152.10.117,,f0fb5dc23eec,RCM1149(Fallback: Security4624Type10 not found),,False,2025-12-24T06:28:07.510468,163.152.10.117,,0,0,[],1
2025-12-29T16:10:48.882124,2025-12-29T16:40:48.882124,1800,UNKNOWN,,163.152.10.117,,3b523f47d590,RCM1149(Fallback: Security4624Type10 not found),,False,2025-12-29T16:10:48.882124,163.152.10.117,,0,0,[],1
2025-12-29T19:26:25.719997,2025-12-29T19:56:25.719997,1800,UNKNOWN,,163.152.10.117,,27ecfb5f9506,RCM1149(Fallback: Security4624Type10 not found),,False,2025-12-29T19:26:25.719997,163.152.10.117,,0,0,[],1
2025-12-30T03:21:21.296556,2025-12-30T03:51:21.296556,1800,pcj,,163.152.125.134,,352b6216e774,RCM1149(Fallback: Security4624Type10 not found),,False,2025-12-30T03:21:21.296556,163.152.125.134,,0,0,[],1
2025-12-30T04:10:56.963364,2025-12-30T04:40:56.963364,1800,UNKNOWN,,163.152.10.117,,4e5b839b9145,RCM1149(Fallback: Security4624Type10 not found),,False,2025-12-30T04:10:56.963364,163.152.10.117,,0,0,[],1
2025-12-30T05:41:59.459192,2025-12-30T06:11:59.459192,1800,pcj,,163.152.125.134,,d66930713404,RCM1149(Fallback: Security4624Type10 not found),,False,2025-12-30T05:41:59.459192,163.152.125.134,,0,0,[],1
2025-12-30T11:25:45.617823,2025-12-30T11:55:45.617823,1800,pcj,,163.152.125.134,,180abfdcc325,RCM1149(Fallback: Security4624Type10 not found),,False,2025-12-30T11:25:45.617823,163.152.125.134,,0,0,[],1
2025-12-31T04:10:28.112221,2025-12-31T04:40:28.112221,1800,pcj,,163.152.125.134,,df8bf7207c34,RCM1149(Fallback: Security4624Type10 not found),,False,2025-12-31T04:10:28.112221,163.152.125.134,,0,0,[],1
